Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
UT,DAVIS DISTRICT,UT,VAE VIEW SCHOOL,4.90E+11,2013,Allegations - basis of race color or national origin,2,,,,,,,,,,,,
UT,DAVIS DISTRICT,UT,VAE VIEW SCHOOL,4.90E+11,2013,Allegations - basis of religion,2,,,,,,,,,,,,
UT,DAVIS DISTRICT,UT,VAE VIEW SCHOOL,4.90E+11,2013,Disciplined for harassment or bullying on basis of race color or national origin,,0,,0,0,2,0,2,0,4,0,0,0
UT,DAVIS DISTRICT,UT,VAE VIEW SCHOOL,4.90E+11,2013,Students reported to have been harassed or bullied on basis of race color or national origin,,0,,0,0,2,0,2,0,4,0,0,0
UT,DAVIS DISTRICT,UT,VAE VIEW SCHOOL,4.90E+11,2013,Total enrollment,,10,,10,10,157,13,259,10,469,110,0,70
UT,DAVIS DISTRICT,UT,FARMINGTON JR HIGH,4.90E+11,2013,Allegations - basis of race color or national origin,0,,,,,,,,,,,,
UT,DAVIS DISTRICT,UT,FARMINGTON JR HIGH,4.90E+11,2013,Disciplined for harassment or bullying on basis of race color or national origin,,0,,0,0,0,0,0,0,0,0,0,0
UT,DAVIS DISTRICT,UT,FARMINGTON JR HIGH,4.90E+11,2013,Students reported to have been harassed or bullied on basis of race color or national origin,,0,,0,0,0,0,0,0,0,0,0,0
UT,DAVIS DISTRICT,UT,FARMINGTON JR HIGH,4.90E+11,2013,Total enrollment,,2,,7,7,31,7,811,10,875,71,4,0
UT,CHANNING HALL,UT,CHANNING HALL,4.90E+11,2011,Allegations - basis of race color or national origin,0,,,,,,,,,,,,
UT,CHANNING HALL,UT,CHANNING HALL,4.90E+11,2011,Disciplined for harassment or bullying on basis of race color or national origin,,0,,0,0,0,0,0,0,0,0,0,0
UT,CHANNING HALL,UT,CHANNING HALL,4.90E+11,2011,Students reported to have been harassed or bullied on basis of race color or national origin,,0,,0,0,0,0,0,0,0,0,0,0
UT,CHANNING HALL,UT,CHANNING HALL,4.90E+11,2011,Total enrollment,,2,,25,10,37,4,592,0,670,65,0,0
UT,GRANITE DISTRICT,UT,SMITH SCHOOL,4.90E+11,2011,Allegations - basis of race color or national origin,1,,,,,,,,,,,,
UT,GRANITE DISTRICT,UT,SMITH SCHOOL,4.90E+11,2011,Disciplined for harassment or bullying on basis of race color or national origin,,0,,0,0,0,0,2,0,2,2,0,0
UT,GRANITE DISTRICT,UT,SMITH SCHOOL,4.90E+11,2011,Students reported to have been harassed or bullied on basis of race color or national origin,,0,,0,0,2,0,0,0,2,0,0,0
UT,GRANITE DISTRICT,UT,SMITH SCHOOL,4.90E+11,2011,Total enrollment,,0,,28,19,79,13,523,2,664,68,2,67
UT,EAST HOLLYWOOD HIGH,UT,EAST HOLLYWOOD HIGH,4.90E+11,2013,Allegations - basis of race color or national origin,0,,,,,,,,,,,,
UT,EAST HOLLYWOOD HIGH,UT,EAST HOLLYWOOD HIGH,4.90E+11,2013,Disciplined for harassment or bullying on basis of race color or national origin,,0,,0,0,0,0,0,0,0,0,0,0
UT,EAST HOLLYWOOD HIGH,UT,EAST HOLLYWOOD HIGH,4.90E+11,2013,Students reported to have been harassed or bullied on basis of race color or national origin,,0,,0,0,0,0,0,0,0,0,0,0
UT,EAST HOLLYWOOD HIGH,UT,EAST HOLLYWOOD HIGH,4.90E+11,2013,Total enrollment,,7,,4,2,70,2,223,2,310,56,0,0
UT,ALPINE DISTRICT,UT,SAGE HILLS SCHOOL,4.90E+11,2015,Allegations - basis of race color or national origin,0,,,,,,,,,,,,
UT,ALPINE DISTRICT,UT,SAGE HILLS SCHOOL,4.90E+11,2015,Allegations - basis of religion,0,,,,,,,,,,,,
UT,ALPINE DISTRICT,UT,SAGE HILLS SCHOOL,4.90E+11,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0,,0,0,0,0,0,0,0,0,0,0
