"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"ABC Great Beginnings Murray","AC","ABC Great Beginnings Murray","901","Private","","","","Pre","6006 South 300 West","MURRAY","84107","geo:40.65744369999,-111.8991204","abcgreatbeginnings.com","","801-747-1016","","","2018","","Administrator","","jenny@abcgreatbeginnings.com"
"Academy for Math Engineering & Science","83","Academy for Math Engineering & Science","700","Public","Charter","Title I","Title I","9 - 12","5715 S 1300 E","SALT LAKE CITY","84121","geo:40.646853,-111.852302","http://www.ames-slc.org/","https://datagateway.schools.utah.gov/Schools/83700","801-278-9460","801-277-3527","State Charter School Board (SCSB)","2003","","Principal","Brett Wilson","bwilson@ames-slc.org"
"Alpine Academy","LV","Alpine Academy","951","Private","","","","7 - 12","1280 Whispering Horse Dr","ERDA","84074","geo:40.603485,-112.275145","alpineacademy.org","","800-244-1113","435-843-5416","","2007","","Principal","","aalvey@youthvillage.org"
"Alpine District","01","Alpine Online School","299","Public","","","","K - 8","575 N 100 E","AMERICAN FORK","84003","geo:40.388315,-111.796538","http://alpineonline.alpineschools.org/","https://datagateway.schools.utah.gov/Schools/01299","801-756-8400","801-763-6186","","2006","","Principal","Michelle Lloyd","mlloyd@alpinedistrict.org"
"Alpine District","01","Alpine School","104","Public","","","","Pre - 6","400 E 300 N","ALPINE","84004","geo:40.456685,-111.770533","http://alpine.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01104","801-610-8700","801-756-8527","","1965","","Principal","Richard Perdue","dperdue@alpinedistrict.org"
"Alpine District","01","American Fork High","704","Public","","","","10 - 12","510 N 600 E","AMERICAN FORK","84003","geo:40.387215,-111.781016","http://www.afhs.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01704","801-610-8800","801-756-8575","","1959","","Principal","Daniel Paul Weishar","dweishar@alpinedistrict.org"
"Alpine District","01","American Fork Jr High","404","Public","","","","7 - 9","20 W 1120 N","AMERICAN FORK","84003","geo:40.400336,-111.798734","http://www.afjh.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01404","801-610-8750","801-756-8407","","1975","","Principal","Kirk Johnson","kirkrjohnson@alpinedistrict.org"
"Alpine District","01","Aspen School","105","Public","","","","Pre - 6","945 W 2000 N","OREM","84057","geo:40.333162,-111.719552","http://aspen.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01105","801-610-8100","801-227-8786","","1980","","Principal","Tommy Freeman","tfreeman@alpinedistrict.org"
"Alpine District","01","Barratt School","106","Public","","","","Pre - 6","168 N 900 E","AMERICAN FORK","84003","geo:40.380442,-111.772094","http://barratt.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01106","801-610-8701","801-756-8530","","1977","","Principal","Daniel Griffey","dgriffey@alpinedistrict.org"
"Alpine District","01","Belmont School","114","Public","","","","Pre - 6","4051 North Maple Hollow Blvd","LEHI","84043","geo:40.441109,-111.818745","","https://datagateway.schools.utah.gov/Schools/01114","","","","2018","","Principal","Sandra Akagi","sakagi@alpinedistrict.org"
"Alpine District","01","Black Ridge School","115","Public","","","","Pre - 6","9358 N. Sunset Drive","EAGLE MOUNTAIN","84005","geo:40.3820513,-111.9927305","","https://datagateway.schools.utah.gov/Schools/01115","801-610-8729","801-789-5370","","2014","","Principal","Heather Jensen","hjensen@alpinedistrict.org"
